Time,Box,Type,Number,Sub,Analysis,199,200,201,202,196,
38,16,ds,1,,MeHg,0.035,0.047,0.067,0.058,,
38,16,ds,2,,MeHg,0.134,0.254,0.384,0.390,,
38,16,ds,3,,MeHg,0.046,0.056,0.068,0.074,,
38,16,ds,4,,MeHg,0.007,0.001,0.017,0.010,,
38,16,ds,5,,MeHg,0.031,0.053,0.084,0.080,,
38,16,ds,6,,MeHg,0.028,0.017,0.031,0.017,,
38,17,ds,1,,MeHg,0.005,0.010,0.025,0.022,,
38,17,ds,2,,MeHg,0.030,0.041,0.067,0.078,,
38,17,ds,3,,MeHg,0.037,0.085,0.141,0.142,,
38,17,ds,4,,MeHg,0.010,0.020,0.030,0.028,,
38,17,ds,5,,MeHg,0.115,0.245,0.374,0.386,,
38,17,ds,6,,MeHg,0.030,0.051,0.075,0.075,,
38,18,ds,1,,MeHg,0.036,0.058,0.095,0.103,,
38,18,ds,2,,MeHg,0.167,0.328,0.499,0.611,,
38,18,ds,3,,MeHg,0.096,0.187,0.293,0.342,,
38,18,ds,4,,MeHg,0.035,0.058,0.105,0.120,,
38,18,ds,5,,MeHg,0.011,0.014,0.029,0.023,,
38,18,ds,6,,MeHg,0.032,0.049,0.081,0.089,,
38,16,w,1,,TotHg,3.071248423,7.304025802,8.45451858,11.47594746,,
38,16,w,2,,TotHg,1.626572718,5.794606762,7.724536345,10.74854197,,
38,16,w,3,,TotHg,1.485342969,5.946665928,7.668576973,11.47270254,,
38,16,w,4,,TotHg,1.326571807,5.178982025,7.063102619,9.974149954,,
38,17,w,1,,TotHg,2.726924227,7.024096507,9.544836725,12.22849289,,
38,17,w,2,,TotHg,3.421046327,7.637942431,9.891428282,12.35709532,,
38,17,w,3,,TotHg,3.506747037,7.856762119,9.713302062,12.64373224,,
38,17,w,4,,TotHg,3.403902392,7.572278665,9.761396194,11.8930568,,
38,18,w,1,,TotHg,1.683006287,7.005117616,9.469358968,13.1945545,,
38,18,w,2,,TotHg,1.897470352,6.62201241,9.003002942,11.26812829,,
38,18,w,3,,TotHg,1.840312205,6.6571343,8.669462688,11.44079027,,
38,18,w,4,,TotHg,1.705658467,6.164232023,8.370051194,10.56406517,,
38,18,w,5,,TotHg,1.394391865,5.839324054,8.207237439,10.19843828,,
38,18,w,6,,TotHg,0.996285632,5.133584652,7.255593412,8.879609627,,
